,month,pressure
0,1,862.4885057471264
1,2,889.4550561797753
2,3,877.3229166666666
3,4,806.3298969072165
4,5,748.5570469798657
5,6,745.0544217687075
6,7,795.1056338028169
7,8,873.8297872340426
8,9,913.3059701492538
9,10,887.3125
10,11,857.0144927536232
11,12,842.156626506024
